The Shawshank Redemption,Two imprisoned men bond over a number of years  finding solace and eventual redemption through acts of common decency.,Drama,2.2,Tim Robbins,1/1/1994
 Schindler's List,In German-occupied Poland during World War II  industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.,Biography,3.25,Liam Neeson,1/1/1993
The Godfather,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,Crime,2.2,Marlon Bardon,1/1/1972
The Lord of the Rings: The Return of the King,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Adventure,3.2,Elijah Wood,1/1/2003
The Dark Knight,When the menace known as the Joker wreaks havoc and chaos on the people of Gotham  Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.,Action,2.2,Christian Bale,1/1/2008
